x_osa,y_osa,x_tacka,y_tacka
278.4,198.66666666666666,900,250
278.8,199.06666666666666,900,250
279.2,199.46666666666667,900,250
278.8,199.46666666666667,900,250
278.4,199.6,900,250
278.0,199.6,900,250
278.0,200.13333333333333,900,250
278.0,200.66666666666666,900,250
278.0,200.0,900,250
278.0,199.86666666666667,900,250
277.8,199.6,900,250
277.6,199.6,900,250
277.4,199.86666666666667,900,250
277.6,200.0,900,250
277.6,199.73333333333332,900,250
277.4,199.46666666666667,900,250
277.4,199.33333333333334,900,250
277.6,199.2,900,250
277.8,199.2,900,250
277.4,199.2,900,250
277.2,199.33333333333334,900,250
277.0,198.93333333333334,900,250
277.0,199.06666666666666,900,250
277.0,199.33333333333334,900,250
277.0,199.33333333333334,900,250
277.2,199.46666666666667,900,250
277.4,199.6,900,250
277.4,199.46666666666667,900,250
277.4,199.6,900,250
277.6,199.86666666666667,900,250
277.8,200.4,900,250
277.8,200.0,900,250
277.6,199.6,900,250
277.6,199.46666666666667,900,250
277.4,199.33333333333334,900,250
277.2,199.2,900,250
277.0,199.2,900,250
277.0,198.93333333333334,900,250
277.0,199.06666666666666,900,250
277.0,198.8,900,250
277.0,198.53333333333333,900,250
277.0,198.26666666666668,900,250
277.2,198.4,900,250
277.2,198.13333333333333,900,250
277.4,198.4,900,250
277.6,198.4,900,250
277.8,198.53333333333333,900,250
277.8,198.66666666666666,900,250
277.6,198.93333333333334,900,250
277.4,198.93333333333334,900,250
277.4,199.46666666666667,900,250
277.6,199.6,900,250
277.6,199.46666666666667,900,250
277.4,199.73333333333332,900,250
277.4,199.86666666666667,900,250
277.4,200.0,900,250
277.4,200.26666666666668,900,250
277.6,200.13333333333333,900,250
277.8,200.26666666666668,900,250
278.0,199.86666666666667,900,250
278.0,199.73333333333332,900,250
278.0,200.0,900,250
278.0,200.0,900,250
278.2,199.46666666666667,900,250
278.0,199.33333333333334,900,250
277.8,198.66666666666666,900,250
277.8,198.8,900,250
277.4,198.66666666666666,900,250
277.4,198.13333333333333,900,250
277.4,198.0,900,250
277.6,197.86666666666667,900,250
277.4,197.6,900,250
277.2,197.46666666666667,900,250
277.2,197.46666666666667,900,250
277.4,197.46666666666667,900,250
