x_osa,y_osa,x_tacka,y_tacka
321.4,321.8666666666667,960,40
317.2,322.4,960,40
294.0,322.53333333333336,960,40
289.2,322.6666666666667,960,40
287.8,322.8,960,40
287.6,322.93333333333334,960,40
287.8,323.06666666666666,960,40
287.6,322.4,960,40
287.4,322.4,960,40
287.4,322.4,960,40
286.8,322.26666666666665,960,40
286.4,322.4,960,40
286.2,322.26666666666665,960,40
286.0,322.26666666666665,960,40
286.2,322.4,960,40
286.0,321.8666666666667,960,40
285.8,321.6,960,40
285.6,321.73333333333335,960,40
286.0,322.26666666666665,960,40
286.4,322.6666666666667,960,40
286.2,322.6666666666667,960,40
286.6,322.53333333333336,960,40
286.8,322.4,960,40
286.6,322.26666666666665,960,40
286.4,322.1333333333333,960,40
286.4,322.0,960,40
286.2,322.0,960,40
286.2,322.0,960,40
286.2,322.26666666666665,960,40
285.8,322.26666666666665,960,40
286.0,322.26666666666665,960,40
285.6,322.4,960,40
285.4,322.26666666666665,960,40
285.6,321.73333333333335,960,40
285.8,321.2,960,40
285.4,321.3333333333333,960,40
285.4,321.46666666666664,960,40
285.4,321.73333333333335,960,40
284.8,322.0,960,40
284.8,322.0,960,40
285.0,322.1333333333333,960,40
285.2,322.1333333333333,960,40
285.2,322.4,960,40
285.2,322.1333333333333,960,40
285.2,322.26666666666665,960,40
285.8,322.4,960,40
286.6,322.6666666666667,960,40
286.8,322.8,960,40
287.0,322.93333333333334,960,40
286.6,322.8,960,40
286.6,322.6666666666667,960,40
286.8,322.6666666666667,960,40
287.0,322.53333333333336,960,40
287.2,322.4,960,40
287.2,322.53333333333336,960,40
287.0,322.53333333333336,960,40
286.8,322.4,960,40
286.8,322.0,960,40
286.6,322.0,960,40
287.0,321.73333333333335,960,40
286.8,321.6,960,40
286.6,321.06666666666666,960,40
286.4,320.93333333333334,960,40
285.8,320.53333333333336,960,40
284.8,320.4,960,40
284.6,320.1333333333333,960,40
285.0,320.53333333333336,960,40
284.0,320.1333333333333,960,40
